	X(m) 		heat_flow(mW/m2)
1998.010919	124.0834226
2104.866085	39.63141567
2219.940749	35.6099705
2302.137422	71.80380621
2408.992588	103.9753676
2499.408759	91.91103206
2598.044427	124.0834226
2696.680096	132.1263129
2795.315764	140.1692033
2877.512437	128.1048678
3083.004966	103.9753676
3280.276303	140.1692033
3485.767138	140.1692033
3691.257972	120.0619774
3880.309811	128.1048678
4069.36165	124.0834226
4274.852485	136.1477581
4472.123821	103.9753676
4652.956163	152.2335388
4858.448692	124.0834226
